Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
05/06/13,Just Dial,950.0,10.12,22.34,3.53,11.63,530.0,15.37
09/05/14,Wonderla,181.25,16.71,159.04,7.56,38.06,125.0,26.08
12/09/14,Snowman Logist,197.4,16.98,221.79,41.26,59.75,47.0,67.55
23/09/14,Sharda Crop,352.0,32.06,251.35,5.85,59.97,156.0,48.37
01/10/14,Shemaroo Ent,120.0,5.69,8.64,7.79,7.39,170.0,0.59
19/12/14,Monte Carlo,342.28,13.96,1.71,6.96,7.83,645.0,-12.19
19/03/15,Ortel Comm,240.0,1.01,0.09,0.39,0.75,181.0,-5.0
06/04/15,Imagicaaworld,467.0,1.17,0.49,1.37,1.11,180.0,6.25
09/04/15,Inox Wind,700.0,35.68,35.38,2.15,18.6,325.0,34.77
30/04/15,VRL Logistics,473.88,58.22,250.86,7.92,74.26,205.0,43.07
06/05/15,MEP Infra,324.0,1.02,1.51,0.97,1.11,63.0,-3.25
14/05/15,UFO Moviez,600.0,4.49,1.17,1.02,2.04,625.0,-4.19
26/05/15,PNC Infratech,488.0,4.51,0.65,0.28,1.56,378.0,-80.94
09/07/15,Manpasand Bever,400.0,1.99,0.38,1.16,1.4,320.0,-48.93
11/08/15,Syngene Intl,550.0,51.47,90.24,4.78,32.05,250.0,-37.92
26/08/15,Power Mech,273.22,27.53,133.22,3.42,38.12,640.0,-8.48
09/09/15,Navkar Corp,600.0,6.47,0.9,1.62,2.85,155.0,7.35
10/09/15,Shree Pushkar,70.0,0.97,2.09,1.54,1.34,65.0,-3.08
10/09/15,Pennar Eng,156.19,0.0,0.04,0.11,0.07,178.0,-11.52
16/09/15,Sadbhav Infra,425.0,3.04,1.66,1.69,2.24,103.0,3.06
21/09/15,Prabhat Dairy,300.0,0.88,1.42,0.34,0.77,115.0,1.17
02/11/15,Coffee Day,1150.0,4.39,0.54,0.9,1.82,328.0,-17.64
10/11/15,Interglobe Avi,3000.0,17.8,3.57,0.92,6.15,765.0,14.83
16/11/15,S H Kelkar,200.0,0.0,0.0,0.0,0.0,180.0,15.17
23/12/15,Alkem Lab,1349.6,57.19,129.96,3.17,44.29,1050.0,31.57
23/12/15,Dr Lal PathLab,638.0,63.56,61.28,4.24,33.41,550.0,49.85
06/01/16,Narayana Hruda,613.0,0.01,0.01,0.13,0.07,250.0,34.68
08/02/16,Precision Camsh,410.0,2.62,0.73,2.01,1.91,186.0,-4.7
12/02/16,TeamLease Ser.,273.68,26.97,185.24,10.61,66.02,850.0,20.23
18/02/16,Quick Heal Tech,450.0,4.34,36.69,3.82,10.8,321.0,-20.73
01/04/16,Bharat Wire Rop,70.0,1.01,2.02,2.08,1.21,45.0,0.89
21/04/16,Equitas Holding,2159.0,14.93,57.29,1.4,17.21,110.0,22.95
09/05/16,Thyrocare Techn,479.21,73.18,225.3,8.73,73.55,446.0,38.59
10/05/16,Ujjivan Financi,358.16,33.84,135.45,4.02,40.68,210.0,10.29
